SubTime,NumProcs,ExeTime,InterArrivalTime,,,,,
0,512,4743,0,,,,,
2121,512,21539,2121,,,,,
4745,512,4592,2624,,,,,
8733,256,7547,3988,,,,,
9340,512,4577,607,,,,,
9585,32,9934,245,,,,,
13920,512,4525,4335,,,,,
16283,256,7436,2363,,,,,
18448,512,4528,2165,,,,,
19460,32,10256,1012,,,,,
21316,512,11343,1856,,,,0 a 50,50
22979,512,4513,1663,,,,51 a 150,100
23722,256,7545,743,,,,151 a 350,200
24557,128,279,835,,,,351 a 750,400
27495,512,4568,2938,,,,751 a 1550,800
29720,32,10206,2225,,,,1551 a 3150,1600
31270,256,8821,1550,,,,3151 a 6.350,3200
32066,512,4806,796,,,,6351 a 12.750,6400
33812,64,5001,1746,,,,Maior que 12750,
36770,512,6460,2958,,,,,
39979,32,10596,3209,,,,,
40094,256,10414,115,,,,,
43435,512,4814,3341,,,,,
50511,256,10583,7076,,,,,
50525,32,10251,14,,,,,
54698,512,4858,4173,,,,,
54761,512,57,63,,,,,
55090,512,415,329,,,,,
57324,512,547,2234,,,,,
57980,64,5402,656,,,,,
59607,32,391,1627,,,,,
59931,512,4666,324,,,,,
60789,32,10155,858,,,,,
60839,32,3774,50,,,,,
61096,256,17341,257,,,,,
62025,512,405,929,,,,,
63422,256,22437,1397,,,,,
70945,32,10225,7523,,,,,
80163,64,934,9218,,,,,
80708,512,18512,545,,,,,
81171,32,9888,463,,,,,
81391,32,1099,220,,,,,
81905,32,157,514,,,,,
82861,256,3918,956,,,,,
85392,512,923,2531,,,,,
88215,512,4527,2823,,,,,
91060,32,10210,2845,,,,,
92041,256,10661,981,,,,,
101273,32,9900,9232,,,,,
103638,32,49,2365,,,,,
104031,32,46,393,,,,,
104385,32,50,354,,,,,
111380,256,16,6995,,,,,
111399,512,4509,19,,,,,
115458,256,7707,4059,,,,,
116228,512,4525,770,,,,,
118915,256,11535,2687,,,,,
121070,512,4496,2155,,,,,
123187,512,5050,2117,,,,,
124761,32,44,1574,,,,,
125431,64,15,670,,,,,
125571,128,3456,140,,,,,
125647,512,11411,76,,,,,
126494,32,22,847,,,,,
126650,32,66,156,,,,,
126801,32,12,151,,,,,
126945,32,62,144,,,,,
127057,32,65,112,,,,,
127408,32,67,351,,,,,
128136,32,71,728,,,,,
128646,32,69,510,,,,,
128918,32,471,272,,,,,
128965,32,82,47,,,,,
129344,32,71,379,,,,,
130010,32,716,666,,,,,
130629,256,7663,619,,,,,
130650,512,4607,21,,,,,
131688,32,743,1038,,,,,
133588,32,36,1900,,,,,
133824,32,95,236,,,,,
134204,32,67,380,,,,,
134346,64,97,142,,,,,
134506,128,946,160,,,,,
134832,256,93,326,,,,,
139450,512,11901,4618,,,,,
142386,256,7587,2936,,,,,
142993,32,696,607,,,,,
144834,32,663,1841,,,,,
146412,32,1085,1578,,,,,
146623,512,4821,211,,,,,
148939,512,966,2316,,,,,
150074,256,7595,1135,,,,,
157671,256,7594,7597,,,,,
162316,32,2392,4645,,,,,
163857,512,2451,1541,,,,,
163935,64,1029,78,,,,,
164785,32,281,850,,,,,
165268,512,18159,483,,,,,
167321,256,1147,2053,,,,,
169132,32,1074,1811,,,,,
173820,512,3968,4688,,,,,
173925,64,855,105,,,,,
175309,64,3463,1384,,,,,
184694,256,15495,9385,,,,,
193195,512,14803,8501,,,,,
197880,256,832,4685,,,,,
200199,256,14081,2319,,,,,
200516,64,2577,317,,,,,
202402,32,38,1886,,,,,
202434,512,5849,32,,,,,
203086,32,99,652,,,,,
203237,32,46,151,,,,,
203560,32,46,323,,,,,
203618,32,43,58,,,,,
204194,32,61,576,,,,,
204810,32,70,616,,,,,
206439,128,5335,1629,,,,,
206965,32,3788,526,,,,,
207144,64,7927,179,,,,,
207750,128,9888,606,,,,,
210542,64,208,2792,,,,,
210825,32,1432,283,,,,,
210895,32,40,70,,,,,
211219,32,30,324,,,,,
211788,128,3278,569,,,,,
211930,128,100,142,,,,,
212094,128,1127,164,,,,,
212111,64,662,17,,,,,
214489,32,233,2378,,,,,
215079,128,3842,590,,,,,
216122,64,5589,1043,,,,,
219040,128,81,2918,,,,,
219248,256,54,208,,,,,
219553,128,807,305,,,,,
219733,256,59,180,,,,,
219823,32,139,90,,,,,
219840,512,6038,17,,,,,
220038,64,541,198,,,,,
220411,256,72,373,,,,,
220816,256,88,405,,,,,
221198,256,80,382,,,,,
221413,64,1542,215,,,,,
221455,64,761,42,,,,,
221789,128,6717,334,,,,,
221865,256,59,76,,,,,
222188,256,754,323,,,,,
222261,128,1271,73,,,,,
223385,128,1067,1124,,,,,
223419,256,39,34,,,,,
223568,64,13301,149,,,,,
223618,256,887,50,,,,,
223782,128,72,164,,,,,
224205,512,104,423,,,,,
224344,32,289,139,,,,,
224573,32,914,229,,,,,
224624,128,41,51,,,,,
224940,256,1311,316,,,,,
224983,128,6434,43,,,,,
225058,128,1468,75,,,,,
225093,64,1415,35,,,,,
225714,32,427,621,,,,,
225738,128,58,24,,,,,
226197,128,55,459,,,,,
226544,512,95,347,,,,,
226803,32,540,259,,,,,
226865,128,1451,62,,,,,
226881,64,1369,16,,,,,
227241,64,1178,360,,,,,
227257,512,189,16,,,,,
227485,32,13,228,,,,,
228284,128,50,799,,,,,
228344,256,7911,60,,,,,
228509,256,1142,165,,,,,
228517,128,3832,8,,,,,
228881,512,252,364,,,,,
229450,512,178,569,,,,,
230175,32,2480,725,,,,,
232358,128,8646,2183,,,,,
232604,128,8154,246,,,,,
233255,32,3972,651,,,,,
233269,32,69,14,,,,,
233370,32,1566,101,,,,,
233721,512,8802,351,,,,,
234028,512,4560,307,,,,,
234283,512,60,255,,,,,
234358,128,23,75,,,,,
234700,128,20,342,,,,,
234926,128,4059,226,,,,,
234933,128,2116,7,,,,,
234996,64,24,63,,,,,
235317,64,933,321,,,,,
237836,128,1345,2519,,,,,
237857,64,421,21,,,,,
238773,512,4559,916,,,,,
240330,64,429,1557,,,,,
240430,256,448,100,,,,,
240746,128,924,316,,,,,
241013,128,936,267,,,,,
241723,64,484,710,,,,,
241760,256,487,37,,,,,
243581,256,92,1821,,,,,
244461,256,135,880,,,,,
244696,64,492,235,,,,,
244734,256,499,38,,,,,
245956,64,1421,1222,,,,,
246055,128,905,99,,,,,
246894,256,87,839,,,,,
247454,256,98,560,,,,,
247625,256,10400,171,,,,,
247628,512,71,3,,,,,
248163,128,31,535,,,,,
248194,128,14342,31,,,,,
249602,512,1553,1408,,,,,
249835,128,1129,233,,,,,
251928,64,308,2093,,,,,
252123,512,4524,195,,,,,
253077,64,168,954,,,,,
253699,64,168,622,,,,,
253895,64,1051,196,,,,,
255044,64,167,1149,,,,,
255866,64,167,822,,,,,
256441,512,8829,575,,,,,
257518,512,12,1077,,,,,
257654,64,173,136,,,,,
258021,256,7561,367,,,,,
258228,512,4623,207,,,,,
262470,64,173,4242,,,,,
262524,128,14376,54,,,,,
262854,512,4518,330,,,,,
265586,256,7545,2732,,,,,
273135,256,7574,7549,,,,,
276206,512,4497,3071,,,,,
277987,128,14391,1781,,,,,
280711,256,12273,2724,,,,,
280716,512,4592,5,,,,,
281511,128,140,795,,,,,
281962,128,2116,451,,,,,
282365,64,10764,403,,,,,
284333,512,432,1968,,,,,
285315,512,4551,982,,,,,
287606,64,15,2291,,,,,
288796,512,7037,1190,,,,,
288935,256,5318,139,,,,,
290586,512,15,1651,,,,,
294897,512,1665,4311,,,,,
295012,32,189,115,,,,,
295252,64,355,240,,,,,
295521,32,3616,269,,,,,
295774,64,198,253,,,,,
296027,32,237,253,,,,,
296086,64,482,59,,,,,
297342,32,483,1256,,,,,
297550,64,200,208,,,,,
297672,64,37,122,,,,,
297714,64,58,42,,,,,
297745,32,545,31,,,,,
297781,64,197,36,,,,,
297807,64,3029,26,,,,,
298108,32,1022,301,,,,,
298219,64,2440,111,,,,,
298241,64,1089,22,,,,,
299187,512,4779,946,,,,,
299321,32,489,134,,,,,
299681,64,459,360,,,,,
300427,32,971,746,,,,,
300621,128,20690,194,,,,,
300961,32,348,340,,,,,
301170,64,13244,209,,,,,
302113,512,2727,943,,,,,
302196,128,395,83,,,,,
302797,128,5914,601,,,,,
303015,128,141,218,,,,,
304980,128,230,1965,,,,,
305443,256,7543,463,,,,,
305589,32,74,146,,,,,
306033,128,126,444,,,,,
306793,128,230,760,,,,,
306817,64,210,24,,,,,
307288,64,337,471,,,,,
307546,32,47,258,,,,,
307634,32,338,88,,,,,
307654,128,232,20,,,,,
308054,32,1083,400,,,,,
308067,32,1056,13,,,,,
308535,32,312,468,,,,,
308705,128,252,170,,,,,
308730,128,4118,25,,,,,
308969,32,129,239,,,,,
309046,128,228,77,,,,,
309221,32,2101,175,,,,,
309332,32,31,111,,,,,
309417,32,2795,85,,,,,
309433,128,239,16,,,,,
309680,32,37,247,,,,,
309690,128,223,10,,,,,
310057,64,624,367,,,,,
310138,128,22474,81,,,,,
310143,32,33,5,,,,,
310403,32,34,260,,,,,
311019,128,332,616,,,,,
311028,128,1995,9,,,,,
311039,128,429,11,,,,,
311040,128,70,1,,,,,
311506,128,70,466,,,,,
311740,128,72,234,,,,,
311846,32,33,106,,,,,
311907,128,267,61,,,,,
312097,512,11527,190,,,,,
312317,32,33,220,,,,,
312360,64,43,43,,,,,
312431,64,171,71,,,,,
312455,32,36,24,,,,,
312527,128,279,72,,,,,
312698,512,4636,171,,,,,
312717,32,33,19,,,,,
312802,64,50,85,,,,,
312868,128,310,66,,,,,
312883,64,30,15,,,,,
312923,32,28,40,,,,,
312980,256,7391,57,,,,,
313007,32,34,27,,,,,
313145,32,29,138,,,,,
313190,32,434,45,,,,,
313236,64,91,46,,,,,
313337,32,33,101,,,,,
313437,32,29,100,,,,,
313513,128,346,76,,,,,
313577,32,45,64,,,,,
313743,32,49,166,,,,,
313855,32,45,112,,,,,
313915,32,119,60,,,,,
314132,32,814,217,,,,,
314168,64,314,36,,,,,
314416,32,50,248,,,,,
314508,64,807,92,,,,,
314516,64,1323,8,,,,,
314526,32,92,10,,,,,
314593,128,928,67,,,,,
314716,512,108,123,,,,,
314839,256,101,123,,,,,
314879,32,89,40,,,,,
314924,32,135,45,,,,,
315108,32,48,184,,,,,
315201,32,45,93,,,,,
